,date,source,medium,campaign,cost,impressions,clicks,users,revenue,conversion_rate,bounce_rate,time_on_site,device_type,browser,satisfaction_score,feedback_score,scores,anomaly
0,2022-07-20,referral,referral,direct,14.9,8770,4188,702,534.09,13.0,5%,9m 24s,Desktop,Safari,2,5,0.05689028115067951,1
1,2022-03-19,enterprisemarketingportal,organic,chrome_launch_switch,71.48,7906,4461,813,820.38,25.0,10%,7m 3s,Desktop,Chrome,2,5,0.07204130019314481,1
2,2023-02-10,enterprisemarketingportal,organic,chrome_launch_switch,10.0,2892,2189,610,65.47,11.0,6%,8m 25s,Desktop,Firefox,3,3,0.04923534217442349,1
3,2022-12-17,brightedge,none,chrome_launch_switch,55.21,4118,1434,668,815.53,24.0,13%,2m 54s,Mobile,Firefox,4,5,0.09325506730838479,1
4,2021-04-02,referral,none,chrome_launch_switch,5.59,7650,8628,504,833.99,29.0,5%,5m 49s,Desktop,Chrome,3,5,-0.00716716763520453,-1
5,2021-04-29,brightedge,organic,direct,50.68,4703,291,834,336.45,9.0,6%,5m 45s,Desktop,Safari,5,3,0.09453960174469278,1
6,2023-05-11,enterprisemarketingportal,paid,referral,10.09,3759,1800,343,177.5,2.0,7%,2m 6s,Mobile,Chrome,4,4,0.0337743281029943,1
7,2022-11-08,google,organic,chrome_launch_switch,51.24,8083,3492,880,773.86,14.0,18%,2m 34s,Desktop,Chrome,2,3,0.09161023098166082,1
8,2022-03-20,referral,none,direct,74.85,978,1512,321,80.55,29.0,15%,6m 19s,Mobile,Chrome,5,3,0.008798945488287302,1
9,2023-05-01,brightedge,referral,chrome_launch_switch,84.42,384,5177,340,21.99,17.0,17%,10m 44s,Mobile,Chrome,2,4,0.05658522074939287,1
10,2023-10-25,referral,referral,direct,79.52,9538,4635,422,630.23,28.0,13%,9m 13s,Desktop,Chrome,4,3,0.01302252134485804,1
11,2023-06-03,referral,paid,organic,92.63,7363,640,30,165.94,7.0,18%,8m 43s,Desktop,Chrome,1,4,0.06215553981150124,1
12,2021-04-11,referral,paid,direct,5.61,8306,3151,909,19.51,10.0,8%,8m 8s,Mobile,Safari,4,5,0.04226026641460168,1
13,2023-12-08,brightedge,none,direct,61.38,1439,4711,377,422.8,4.0,15%,9m 35s,Mobile,Chrome,5,5,0.057208127013242405,1
14,2022-03-23,referral,paid,chrome_launch_switch,79.58,2424,8189,972,30.49,6.0,14%,3m 24s,Mobile,Chrome,4,3,0.07457589793366048,1
15,2022-12-31,enterprisemarketingportal,none,organic,48.25,7117,8428,731,271.54,12.0,10%,3m 30s,Mobile,Safari,3,3,0.09064472229731707,1
16,2023-04-02,enterprisemarketingportal,paid,organic,67.72,8850,2431,625,591.01,24.0,25%,6m 45s,Mobile,Safari,3,4,0.09108161001617321,1
17,2021-03-14,enterprisemarketingportal,referral,direct,15.27,1396,2540,455,307.82,16.0,24%,4m 2s,Desktop,Firefox,2,4,0.06859349677798299,1
18,2021-09-01,google,paid,chrome_launch_switch,10.13,9174,8647,471,573.83,2.0,25%,2m 37s,Desktop,Firefox,3,5,-0.01017772686673224,-1
19,2021-12-24,referral,paid,organic,98.6,9923,794,377,757.66,15.0,9%,5m 21s,Mobile,Chrome,5,3,-0.015296348111896174,-1
20,2023-12-31,google,paid,chrome_launch_switch,55.44,2975,6530,896,947.4,25.0,6%,9m 55s,Desktop,Chrome,3,5,0.07673311035795671,1
21,2022-07-21,brightedge,referral,organic,30.91,3519,6897,305,140.7,7.0,19%,4m 5s,Mobile,Firefox,5,5,0.07742854428283663,1
22,2022-07-07,brightedge,paid,direct,99.71,7475,989,453,207.06,20.0,15%,6m 15s,Mobile,Safari,5,5,0.026643923487936427,1
