,date,source,medium,campaign,cost,impressions,clicks,users,conversions,revenue,conversion_rate,bounce_rate,time_on_site,device_type,browser,satisfaction_score,feedback_score,anomaly_scores,anomaly
0,2021-07-30,google,video,brand_awareness,404.0,1727,505,320,317,454.13,62.77,36.63,129,Desktop,Firefox,4,3,0.07740834508137062,1
1,2021-08-23,twitter,referral,new_product_launch,30.68,162,118,70,0,909.5,0.0,40.68,58,Desktop,Chrome,3,3,0.06704025681646797,1
2,2022-04-26,google,social,customer_retention,1004.3,7103,913,237,196,514.97,21.47,74.04,462,Desktop,Safari,3,5,0.13555132041955148,1
3,2022-12-02,linkedin,video,lead_generation,5145.6,5174,2560,2020,1333,299.51,52.07,21.09,140,Desktop,Chrome,4,4,0.03541487438761626,1
4,2023-10-21,youtube,organic,brand_awareness,114.7,457,185,143,19,489.54,10.27,22.7,424,Desktop,Firefox,2,3,0.1108941923507979,1
5,2021-04-30,direct,video,summer_sale,-418.76,3461,1444,1038,263,250.13,18.21,28.12,169,Desktop,Firefox,4,3,0.11813192340178624,1
6,2023-08-18,direct,social,brand_awareness,782.72,7817,2446,1319,1081,378.16,44.19,46.08,395,Mobile,Firefox,3,5,0.09371717309079253,1
7,2022-02-19,linkedin,organic,brand_awareness,6583.6,3353,3020,478,173,264.43,5.73,84.17,448,Mobile,Chrome,4,4,-0.00541364643381137,-1
8,2022-05-25,instagram,social,lead_generation,1794.82,6675,2087,1695,396,920.63,18.97,18.78,451,Mobile,Safari,3,5,0.12999355003921392,1
9,2021-06-16,google,video,customer_retention,1406.1,3206,1635,1211,354,176.21,21.65,25.93,347,Desktop,Chrome,4,4,0.1234042164903148,1
10,2023-11-18,google,social,customer_retention,929.4,2656,1549,5,0,973.07,0.0,99.68,202,Desktop,Safari,3,3,0.09316477460195016,1
11,2023-08-06,youtube,social,brand_awareness,16.83,680,51,48,41,430.19,80.39,5.88,233,Desktop,Firefox,4,3,0.008772836746505863,1
12,2021-09-14,twitter,referral,new_product_launch,95.04,3124,1188,484,220,740.74,18.52,59.26,387,Mobile,Chrome,4,5,0.1500230129715019,1
13,2021-06-07,youtube,video,brand_awareness,1925.8,9662,9629,2519,1287,299.06,13.37,73.84,284,Desktop,Safari,4,5,0.0774125661975642,1
14,2022-09-16,google,social,lead_generation,1130.92,2321,1154,503,445,176.29,38.56,56.41,229,Mobile,Safari,3,3,0.0978504097812411,1
15,2022-11-02,newsletter,referral,brand_awareness,33.64,3681,58,16,16,908.83,27.59,72.41,31,Mobile,Safari,1,5,0.142319194885363,1
16,2021-07-27,facebook,social,new_product_launch,276.08,2779,812,370,340,575.3,41.87,54.43,302,Mobile,Firefox,4,3,0.11790305455427835,1
