date,source,medium,campaign,cost,impressions,clicks,users,revenue,conversion_rate,bounce_rate,time_on_site,device_type,browser,satisfaction_score,feedback_score
2022-07-20,referral,referral,direct,14.9,8770,4188,702,534.09,13%,5%,9m 24s,Desktop,Safari,2,5
2022-03-19,enterprisemarketingportal,organic,chrome_launch_switch,71.48,7906,4461,813,820.38,25%,10%,7m 3s,Desktop,Chrome,2,5
2023-02-10,enterprisemarketingportal,organic,chrome_launch_switch,10.0,2892,2189,610,65.47,11%,6%,8m 25s,Desktop,Firefox,3,3
2022-12-17,brightedge,none,chrome_launch_switch,55.21,4118,1434,668,815.53,24%,13%,2m 54s,Mobile,Firefox,4,5
2021-04-02,referral,none,chrome_launch_switch,5.59,7650,8628,504,833.99,29%,5%,5m 49s,Desktop,Chrome,3,5
2021-04-29,brightedge,organic,direct,50.68,4703,291,834,336.45,9%,6%,5m 45s,Desktop,Safari,5,3
2023-05-11,enterprisemarketingportal,paid,referral,10.09,3759,1800,343,177.5,2%,7%,2m 6s,Mobile,Chrome,4,4
2022-11-08,google,organic,chrome_launch_switch,51.24,8083,3492,880,773.86,14%,18%,2m 34s,Desktop,Chrome,2,3
2022-03-20,referral,none,direct,74.85,978,1512,321,80.55,29%,15%,6m 19s,Mobile,Chrome,5,3
2023-05-01,brightedge,referral,chrome_launch_switch,84.42,384,5177,340,21.99,17%,17%,10m 44s,Mobile,Chrome,2,4
2023-10-25,referral,referral,direct,79.52,9538,4635,422,630.23,28%,13%,9m 13s,Desktop,Chrome,4,3
2023-06-03,referral,paid,organic,92.63,7363,640,30,165.94,7%,18%,8m 43s,Desktop,Chrome,1,4
2021-04-11,referral,paid,direct,5.61,8306,3151,909,19.51,10%,8%,8m 8s,Mobile,Safari,4,5
2023-12-08,brightedge,none,direct,61.38,1439,4711,377,422.8,4%,15%,9m 35s,Mobile,Chrome,5,5
2022-03-23,referral,paid,chrome_launch_switch,79.58,2424,8189,972,30.49,6%,14%,3m 24s,Mobile,Chrome,4,3
